Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17
fungal infection,itching,skin_rash,nodal_skin_eruptions,dischromic _patches,none,none,none,none,none,none,none,none,none,none,none,none,none
fungal infection,skin_rash,nodal_skin_eruptions,dischromic _patches,none,none,none,none,none,none,none,none,none,none,none,none,none,none
fungal infection,itching,nodal_skin_eruptions,dischromic _patches,none,none,none,none,none,none,none,none,none,none,none,none,none,none
fungal infection,itching,skin_rash,dischromic _patches,none,none,none,none,none,none,none,none,none,none,none,none,none,none
fungal infection,itching,skin_rash,nodal_skin_eruptions,none,none,none,none,none,none,none,none,none,none,none,none,none,none
allergy,continuous_sneezing,shivering,chills,watering_from_eyes,none,none,none,none,none,none,none,none,none,none,none,none,none
allergy,shivering,chills,watering_from_eyes,none,none,none,none,none,none,none,none,none,none,none,none,none,none
allergy,continuous_sneezing,chills,watering_from_eyes,none,none,none,none,none,none,none,none,none,none,none,none,none,none
allergy,continuous_sneezing,shivering,watering_from_eyes,none,none,none,none,none,none,none,none,none,none,none,none,none,none
allergy,continuous_sneezing,shivering,chills,none,none,none,none,none,none,none,none,none,none,none,none,none,none
gerd,stomach_pain,acidity,ulcers_on_tongue,vomiting,cough,chest_pain,none,none,none,none,none,none,none,none,none,none,none
gerd,stomach_pain,ulcers_on_tongue,vomiting,cough,chest_pain,none,none,none,none,none,none,none,none,none,none,none,none
gerd,stomach_pain,acidity,vomiting,cough,chest_pain,none,none,none,none,none,none,none,none,none,none,none,none
gerd,stomach_pain,acidity,ulcers_on_tongue,cough,chest_pain,none,none,none,none,none,none,none,none,none,none,none,none
gerd,stomach_pain,acidity,ulcers_on_tongue,vomiting,chest_pain,none,none,none,none,none,none,none,none,none,none,none,none
gerd,stomach_pain,acidity,ulcers_on_tongue,vomiting,cough,none,none,none,none,none,none,none,none,none,none,none,none
gerd,acidity,ulcers_on_tongue,vomiting,cough,chest_pain,none,none,none,none,none,none,none,none,none,none,none,none
chronic cholestasis,itching,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,none,none,none,none,none,none,none,none,none,none
chronic cholestasis,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,none,none,none,none,none,none,none,none,none,none,none
chronic cholestasis,itching,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,none,none,none,none,none,none,none,none,none,none,none
chronic cholestasis,itching,vomiting,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,none,none,none,none,none,none,none,none,none,none,none
chronic cholestasis,itching,vomiting,yellowish_skin,loss_of_appetite,abdominal_pain,yellowing_of_eyes,none,none,none,none,none,none,none,none,none,none,none
chronic cholestasis,itching,vomiting,yellowish_skin,nausea,abdominal_pain,yellowing_of_eyes,none,none,none,none,none,none,none,none,none,none,none
chronic cholestasis,itching,vomiting,yellowish_skin,nausea,loss_of_appetite,yellowing_of_eyes,none,none,none,none,none,none,none,none,none,none,none
chronic cholestasis,itching,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,none,none,none,none,none,none,none,none,none,none,none
drug reaction,itching,skin_rash,stomach_pain,burning_micturition,spotting_ urination,none,none,none,none,none,none,none,none,none,none,none,none
drug reaction,itching,stomach_pain,burning_micturition,spotting_ urination,none,none,none,none,none,none,none,none,none,none,none,none,none
drug reaction,itching,skin_rash,burning_micturition,spotting_ urination,none,none,none,none,none,none,none,none,none,none,none,none,none
drug reaction,itching,skin_rash,stomach_pain,spotting_ urination,none,none,none,none,none,none,none,none,none,none,none,none,none
drug reaction,itching,skin_rash,stomach_pain,burning_micturition,none,none,none,none,none,none,none,none,none,none,none,none,none
drug reaction,skin_rash,stomach_pain,burning_micturition,spotting_ urination,none,none,none,none,none,none,none,none,none,none,none,none,none
peptic ulcer diseae,vomiting,loss_of_appetite,abdominal_pain,passage_of_gases,internal_itching,none,none,none,none,none,none,none,none,none,none,none,none
peptic ulcer diseae,vomiting,indigestion,abdominal_pain,passage_of_gases,internal_itching,none,none,none,none,none,none,none,none,none,none,none,none
peptic ulcer diseae,indigestion,loss_of_appetite,abdominal_pain,passage_of_gases,internal_itching,none,none,none,none,none,none,none,none,none,none,none,none
peptic ulcer diseae,vomiting,indigestion,loss_of_appetite,passage_of_gases,internal_itching,none,none,none,none,none,none,none,none,none,none,none,none
peptic ulcer diseae,vomiting,indigestion,loss_of_appetite,abdominal_pain,internal_itching,none,none,none,none,none,none,none,none,none,none,none,none
peptic ulcer diseae,vomiting,indigestion,loss_of_appetite,abdominal_pain,passage_of_gases,none,none,none,none,none,none,none,none,none,none,none,none
peptic ulcer diseae,vomiting,indigestion,loss_of_appetite,abdominal_pain,passage_of_gases,internal_itching,none,none,none,none,none,none,none,none,none,none,none
aids,muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts,none,none,none,none,none,none,none,none,none,none,none,none,none
aids,patches_in_throat,high_fever,extra_marital_contacts,none,none,none,none,none,none,none,none,none,none,none,none,none,none
aids,muscle_wasting,high_fever,extra_marital_contacts,none,none,none,none,none,none,none,none,none,none,none,none,none,none
aids,muscle_wasting,patches_in_throat,extra_marital_contacts,none,none,none,none,none,none,none,none,none,none,none,none,none,none
aids,muscle_wasting,patches_in_throat,high_fever,none,none,none,none,none,none,none,none,none,none,none,none,none,none
diabetes,fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria,none,none,none,none,none,none,none
diabetes,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria,none,none,none,none,none,none,none,none
diabetes,fatigue,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria,none,none,none,none,none,none,none,none
diabetes,fatigue,weight_loss,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria,none,none,none,none,none,none,none,none
diabetes,fatigue,weight_loss,restlessness,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria,none,none,none,none,none,none,none,none
diabetes,fatigue,weight_loss,restlessness,lethargy,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria,none,none,none,none,none,none,none,none
diabetes,fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,obesity,excessive_hunger,increased_appetite,polyuria,none,none,none,none,none,none,none,none
diabetes,fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,excessive_hunger,increased_appetite,polyuria,none,none,none,none,none,none,none,none
diabetes,fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,increased_appetite,polyuria,none,none,none,none,none,none,none,none
gastroenteritis,vomiting,sunken_eyes,dehydration,diarrhoea,none,none,none,none,none,none,none,none,none,none,none,none,none
gastroenteritis,sunken_eyes,dehydration,diarrhoea,none,none,none,none,none,none,none,none,none,none,none,none,none,none
gastroenteritis,vomiting,dehydration,diarrhoea,none,none,none,none,none,none,none,none,none,none,none,none,none,none
gastroenteritis,vomiting,sunken_eyes,diarrhoea,none,none,none,none,none,none,none,none,none,none,none,none,none,none
gastroenteritis,vomiting,sunken_eyes,dehydration,none,none,none,none,none,none,none,none,none,none,none,none,none,none
bronchial asthma,fatigue,cough,high_fever,breathlessness,family_history,mucoid_sputum,none,none,none,none,none,none,none,none,none,none,none
bronchial asthma,cough,high_fever,breathlessness,family_history,mucoid_sputum,none,none,none,none,none,none,none,none,none,none,none,none
bronchial asthma,fatigue,high_fever,breathlessness,family_history,mucoid_sputum,none,none,none,none,none,none,none,none,none,none,none,none
bronchial asthma,fatigue,cough,breathlessness,family_history,mucoid_sputum,none,none,none,none,none,none,none,none,none,none,none,none
bronchial asthma,fatigue,cough,high_fever,family_history,mucoid_sputum,none,none,none,none,none,none,none,none,none,none,none,none
bronchial asthma,fatigue,cough,high_fever,breathlessness,mucoid_sputum,none,none,none,none,none,none,none,none,none,none,none,none
bronchial asthma,fatigue,cough,high_fever,breathlessness,family_history,none,none,none,none,none,none,none,none,none,none,none,none
hypertension,headache,chest_pain,dizziness,loss_of_balance,lack_of_concentration,none,none,none,none,none,none,none,none,none,none,none,none
hypertension,chest_pain,dizziness,loss_of_balance,lack_of_concentration,none,none,none,none,none,none,none,none,none,none,none,none,none
hypertension,headache,dizziness,loss_of_balance,lack_of_concentration,none,none,none,none,none,none,none,none,none,none,none,none,none
hypertension,headache,chest_pain,loss_of_balance,lack_of_concentration,none,none,none,none,none,none,none,none,none,none,none,none,none
hypertension,headache,chest_pain,dizziness,lack_of_concentration,none,none,none,none,none,none,none,none,none,none,none,none,none
hypertension,headache,chest_pain,dizziness,loss_of_balance,none,none,none,none,none,none,none,none,none,none,none,none,none
migraine,acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,irritability,visual_disturbances,none,none,none,none,none,none,none,none
migraine,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,irritability,visual_disturbances,none,none,none,none,none,none,none,none,none
migraine,acidity,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,irritability,visual_disturbances,none,none,none,none,none,none,none,none,none
migraine,acidity,indigestion,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,irritability,visual_disturbances,none,none,none,none,none,none,none,none,none
migraine,acidity,indigestion,headache,excessive_hunger,stiff_neck,depression,irritability,visual_disturbances,none,none,none,none,none,none,none,none,none
migraine,acidity,indigestion,headache,blurred_and_distorted_vision,stiff_neck,depression,irritability,visual_disturbances,none,none,none,none,none,none,none,none,none
migraine,acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,depression,irritability,visual_disturbances,none,none,none,none,none,none,none,none,none
